Place,The type of place,Year,Month,Cause of death (Russian),Cause of death (English),Flu related?,male deaths,female deaths,total deaths,newcomers,prisoners in transit,babies up to 6 months,babies from 6 months to 1 year,babies from 1 year to 5 years,from 5 to 10,from 10 to 15,from 15 to 20,from 20 to 30,from 30 to 40,from 40 to 50,from 50 to 60,from 60 to 70,from 70 to 80,over 80,age is unknown,,
Moscow,provincial city,1891,January,болезни мочевых органов,urinary tract diseases,,23,20,43,7,0,0,0,2,2,0,2,6,5,11,7,6,1,1,0,,
Moscow,provincial city,1891,January,болезни половых орагнов,diseases of the genitals,,3,4,7,4,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,,
Moscow,provincial city,1891,January,"болезни костей, суставов и мышц ",bone disease,,5,3,8,1,0,0,0,0,0,0,1,2,1,1,1,2,0,0,0,,
Moscow,provincial city,1891,January,болезни кожи и подкожной клечатки,skin disease,,5,2,7,0,0,3,0,0,0,0,0,1,0,1,0,1,1,0,0,,
Moscow,provincial city,1891,January,болезни лимфатических сосудов и желез,diseases of the lymphatic vessels,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,врожденная слабость,inherent weakness,,94,60,154,1,0,152,1,1,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,старческая дряхлость,senile senility,,59,123,182,0,0,0,0,0,0,0,0,0,0,2,4,59,82,35,0,,
Moscow,provincial city,1892,January,врожденные пороки развития,congenital malformation,,10,5,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,причина неизвестна,unknown reason,,64,55,119,3,0,44,0,0,0,3,1,6,13,16,14,20,2,0,0,,
Moscow,provincial city,1891,January,причина неточно определена,undefinied reason,,10,12,22,0,0,2,1,2,1,0,0,1,0,2,3,6,4,0,0,,
Moscow,provincial city,1891,January,несчастные случаи,casualties,,10,3,13,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,самоубийства,suicides,,3,1,4,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,,
Moscow,provincial city,1891,January,убийства,murders,,4,1,5,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,прочие болезни,other disease,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,January,"смерть насильственная, но род не определен",violent death,,5,6,11,3,0,0,0,0,1,0,0,6,2,0,1,1,0,0,0,,
Moscow,provincial city,1891,February,тиф сыпной,spotted fever,,27,11,38,1,3,0,0,0,0,0,1,18,9,3,2,5,0,0,0,,
Moscow,provincial city,1891,February,тиф брюшной,enteric fever,,12,5,17,2,0,1,0,1,1,0,2,8,3,0,0,0,1,0,0,,
Moscow,provincial city,1891,February,возвратная горячка,fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,тиф без означения формы,typhus,,5,0,5,1,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,,
Moscow,provincial city,1891,February,послеродовая горячка,puerperal fever,,0,14,14,1,0,0,0,0,0,0,0,8,4,2,0,0,0,0,0,,
Moscow,provincial city,1891,February,перемежающаяся лихорадка,remittent fever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,оспа,smallpox,,3,2,5,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,скарлатина,scarlet fever,,19,17,36,3,0,0,2,18,16,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,корь,measles,,2,7,9,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,кровавый понос,bloody diarrhoea,,2,3,5,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,,
Moscow,provincial city,1891,February,дифтерит,pseudomembranous inflammation,,31,25,56,0,1,24,0,18,6,4,1,1,1,0,1,0,0,0,0,,
Moscow,provincial city,1891,February,круп,croup,yes,2,1,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,
Moscow,provincial city,1891,February,крупозная пневмония,pulmonic fever,yes,50,38,88,4,3,1,2,2,1,0,2,11,15,16,16,16,6,0,0,,
